timestamp,batt_temp_c,aoss-0_c,cpuss-0_c,cpu-1-5_c,cpu-1-6_c,cpu-1-7_c,cpu-1-8_c,cpu-1-9_c,cpu-1-10_c,aoss-1_c,cpu-0-0_c,cpu-0-1_c,cpu-0-2_c,cpuss-1_c,nspss-0_c,nspss-1_c,nspss-2_c,nspss-3_c,video_c,ddr_c,mdmss-0_c,mdmss-1_c,mdmss-2_c,mdmss-3_c,cpuss-2_c,camera-0_c,camera-1_c,aoss-2_c,gpuss-0_c,gpuss-1_c,gpuss-2_c,gpuss-3_c,gpuss-4_c,gpuss-5_c,gpuss-6_c,cpuss-3_c,gpuss-7_c,pa_c,pa1_c,bcl_warn_c,sdr0_pa_c,sdr0_c,sdr1_pa_c,sdr1_c,mmw0_c,mmw1_c,cpu-1-0_c,mmw2_c,mmw3_c,mmw_pa1_c,mmw_pa2_c,mmw_pa3_c,mmw_ific0_c,epm0_c,epm1_c,epm2_c,epm3_c,cpu-1-1_c,epm4_c,epm5_c,epm6_c,epm7_c,sdr_mmw_therm_c,sub1_modem_cfg_c,sub1_lte_cc_c,sub1_mcg_fr1_cc_c,sub1_mcg_fr2_cc_c,sub1_scg_fr1_cc_c,cpu-1-2_c,sub1_scg_fr2_cc_c,pm8550_tz_c,pm8550-bcl-lvl0_c,pm8550-bcl-lvl1_c,pm8550-bcl-lvl2_c,pm8550b_tz_c,pm8550b_lite_tz_c,pm8550b-ibat-lvl0_c,pm8550b-ibat-lvl1_c,pm8550b-bcl-lvl0_c,cpu-1-3_c,pm8550b-bcl-lvl1_c,pm8550b-bcl-lvl2_c,socd_c,pm8550ve_f_tz_c,pm8550vs_c_tz_c,pm8550vs_d_tz_c,pm8550vs_e_tz_c,pm8550vs_g_tz_c,pmr735d_k_tz_c,pmr735d_l_tz_c,cpu-1-4_c,pm8010m_tz_c,pm8010n_tz_c,xo-therm_c,ac_c,battery_c,cpu7_freq_khz
1780030958,35.2,43.80,47.30,45.70,44.60,44.90,45.30,44.90,44.60,43.80,48.50,49.30,48.90,47.30,44.20,44.20,42.60,42.60,48.90,43.40,42.60,43.00,42.20,43.00,45.30,43.00,43.40,44.20,44.60,44.60,43.80,43.40,44.60,44.20,43.80,44.60,44.20,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.40,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.40,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.60,-273.00,37.57,0.00,0.00,0.00,NA,NA,NA,NA,NA,44.20,NA,NA,0.01,34.06,38.21,38.84,37.94,38.01,37.00,NA,44.60,NA,NA,39.44,39.50,35.50,864000
1780030971,35.2,42.60,47.70,45.30,43.80,44.60,45.70,44.60,44.60,43.40,50.50,52.90,52.10,48.90,43.40,43.40,41.80,42.20,49.70,43.80,42.60,41.80,41.40,43.00,46.50,43.40,43.80,44.60,44.20,43.80,43.40,43.40,44.60,44.60,43.80,45.70,44.20,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,45.30,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.90,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.10,-273.00,37.67,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.10,NA,NA,0.01,34.33,39.55,39.08,38.51,39.01,37.00,NA,46.90,NA,NA,39.50,39.60,35.70,864000
1780030988,35.2,42.60,46.10,44.60,43.00,43.80,43.80,43.40,43.40,42.60,47.30,46.90,48.10,45.70,43.00,43.40,42.20,41.80,46.90,43.00,41.80,42.20,41.40,42.20,44.60,42.60,42.60,44.20,44.20,43.40,43.00,43.00,43.40,44.20,43.80,44.60,43.80,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.40,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,43.80,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.70,-273.00,37.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.10,NA,NA,0.01,34.09,38.98,38.78,37.97,38.31,37.00,NA,46.10,NA,NA,39.55,39.60,35.70,864000
1780031001,35.2,43.80,48.50,46.50,44.90,45.30,46.50,45.70,45.70,44.20,50.50,52.50,52.10,50.10,44.60,45.00,42.20,43.00,50.90,45.00,43.40,43.00,42.20,43.00,46.90,43.80,44.60,44.90,44.60,44.60,44.20,43.80,45.70,45.30,44.90,46.90,45.30,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.90,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.70,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.10,-273.00,37.91,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.90,NA,NA,0.01,34.56,39.58,39.31,38.74,39.14,37.00,NA,47.70,NA,NA,39.65,39.70,35.80,864000
1780031017,35.2,42.20,45.70,43.80,43.00,43.80,44.60,43.80,43.00,42.60,46.90,48.10,47.70,46.10,43.00,43.00,41.80,41.80,47.70,42.60,41.80,41.80,41.40,41.80,44.90,42.60,43.00,44.20,44.20,43.40,43.40,43.00,44.20,44.20,43.80,44.90,44.20,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.80,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.70,-273.00,37.64,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.50,NA,NA,0.01,34.13,39.21,38.84,38.01,38.78,37.00,NA,46.50,NA,NA,39.66,39.70,35.80,864000
1780031032,35.2,44.60,49.30,47.70,46.10,46.90,47.70,46.10,46.10,44.60,52.50,52.50,52.50,49.70,45.00,45.70,43.40,43.80,50.90,45.30,43.80,43.80,43.00,44.20,48.90,44.60,45.30,46.50,45.70,45.30,45.70,45.30,49.30,48.50,47.30,51.70,47.70,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,47.30,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.10,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.30,-273.00,38.71,0.00,0.00,0.00,NA,NA,NA,NA,NA,45.70,NA,NA,0.01,35.03,39.51,40.05,38.91,39.55,37.00,NA,45.70,NA,NA,39.94,39.90,35.90,864000
1780031048,35.2,43.00,47.70,46.50,44.90,45.70,45.70,44.90,44.90,43.80,50.50,53.70,53.30,49.30,44.20,44.20,42.20,43.00,50.50,44.20,42.60,42.60,41.80,43.00,46.10,43.80,44.20,44.90,44.60,43.80,43.40,43.40,44.90,44.90,44.20,45.30,44.60,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.60,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.90,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.10,-273.00,37.97,0.00,0.00,0.00,NA,NA,NA,NA,NA,47.70,NA,NA,0.01,34.59,39.24,39.38,38.94,39.24,37.00,NA,47.70,NA,NA,39.91,39.90,35.90,864000
1780031064,35.2,43.80,47.30,45.70,44.60,44.60,45.70,44.60,44.60,44.20,48.90,48.90,48.90,47.30,43.80,44.60,43.00,43.00,47.30,44.60,43.40,43.00,41.80,43.40,45.30,43.40,43.80,44.60,44.20,44.60,44.20,43.80,44.60,44.60,43.80,44.60,44.60,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.80,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.30,-273.00,38.14,0.00,0.00,0.00,NA,NA,NA,NA,NA,44.60,NA,NA,0.01,34.56,38.71,39.41,38.41,38.48,37.00,NA,44.90,NA,NA,39.98,40.50,36.00,864000
1780031077,35.2,43.80,48.10,46.90,44.60,45.70,46.50,44.90,44.90,43.80,50.50,52.50,52.10,49.70,44.20,44.60,43.00,43.00,50.50,44.20,43.00,43.00,42.60,43.40,47.30,43.80,44.20,45.30,44.90,43.80,44.20,44.20,45.30,45.30,44.60,46.10,45.30,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,45.70,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.70,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.10,-273.00,38.27,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.90,NA,NA,0.01,34.86,40.15,39.71,39.11,39.55,37.00,NA,46.90,NA,NA,40.02,40.50,36.00,864000
1780031093,35.2,42.60,46.10,44.90,43.40,43.80,44.90,44.20,43.80,43.40,48.10,48.10,47.70,46.50,43.00,43.80,42.20,42.20,47.30,43.80,42.20,42.60,41.40,42.20,44.90,43.00,43.40,44.20,43.80,43.80,44.20,43.00,43.80,44.20,43.80,44.90,44.60,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,43.80,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,47.30,-273.00,38.01,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.90,NA,NA,0.01,34.49,39.11,39.38,38.54,38.91,37.00,NA,46.90,NA,NA,40.06,40.90,36.10,864000
1780031106,35.2,44.60,48.90,47.30,44.90,46.90,47.30,46.10,46.50,45.00,52.50,52.90,52.50,50.10,44.60,45.00,43.80,43.80,51.30,45.30,43.40,43.40,42.60,44.20,47.70,44.60,45.00,46.10,45.30,44.90,45.30,44.20,46.50,45.70,45.30,47.30,45.70,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,46.50,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.10,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.50,-273.00,38.44,0.00,0.00,0.00,NA,NA,NA,NA,NA,48.10,NA,NA,0.01,35.20,39.78,39.78,39.34,39.71,37.00,NA,47.30,NA,NA,40.16,40.90,36.10,864000
1780031123,35.2,42.60,45.70,44.60,43.40,43.80,44.20,43.80,43.40,43.00,49.70,50.10,50.90,48.10,43.40,43.80,42.20,42.20,49.70,43.80,42.60,42.60,42.20,42.60,45.70,43.40,43.80,44.60,44.60,44.20,44.20,43.40,44.60,44.90,44.60,45.70,44.60,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.60,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.30,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.10,-273.00,38.17,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.90,NA,NA,0.01,34.49,39.75,39.31,38.41,39.14,37.00,NA,46.90,NA,NA,40.12,40.50,36.20,864000
1780031139,35.2,44.90,49.30,47.30,46.10,46.50,47.30,46.50,46.50,44.60,51.30,54.50,53.30,50.90,45.30,45.70,43.80,44.20,51.70,45.70,44.20,43.80,43.00,44.60,46.90,45.00,45.00,45.70,45.70,44.90,44.90,44.60,45.70,45.30,44.90,45.70,45.30,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.90,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.50,-273.00,38.54,0.00,0.00,0.00,NA,NA,NA,NA,NA,45.70,NA,NA,0.01,34.96,39.11,39.68,38.81,39.01,37.00,NA,45.30,NA,NA,40.25,40.50,36.20,864000
1780031152,35.2,43.40,47.70,46.50,44.60,44.90,45.70,44.60,44.90,43.40,50.50,51.70,51.70,49.70,43.40,44.60,42.20,42.60,51.30,43.40,43.00,43.00,42.20,43.00,46.50,43.40,44.20,44.90,44.60,44.20,43.80,43.40,44.60,44.90,44.20,46.50,44.90,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.90,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,45.70,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.50,-273.00,38.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,47.30,NA,NA,0.01,34.90,39.98,39.61,39.08,39.48,37.00,NA,47.70,NA,NA,40.23,40.20,36.30,864000
1780031169,35.2,43.80,46.90,45.70,44.20,44.60,45.30,44.60,44.60,44.20,47.70,48.50,49.30,46.90,43.80,44.20,43.00,43.40,46.90,43.80,43.00,43.40,42.20,43.00,45.30,43.80,43.40,44.60,44.60,44.90,44.20,44.20,44.60,44.90,44.60,44.90,44.60,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.20,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.20,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.10,-273.00,38.31,0.00,0.00,0.00,NA,NA,NA,NA,NA,44.90,NA,NA,0.01,34.73,39.01,39.51,38.64,38.81,37.00,NA,44.90,NA,NA,40.30,40.20,36.30,864000
1780031181,35.2,44.60,49.30,47.30,45.70,46.50,46.90,46.10,45.70,45.00,51.70,52.90,53.30,50.50,45.00,45.30,43.40,44.20,50.90,45.00,43.80,43.80,43.00,43.80,48.10,44.60,44.60,46.50,45.30,45.30,45.30,44.90,45.70,46.10,45.70,47.70,45.70,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,46.10,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.50,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.90,-273.00,38.81,0.00,0.00,0.00,NA,NA,NA,NA,NA,48.50,NA,NA,0.01,35.30,40.52,40.01,39.34,39.98,37.00,NA,48.10,NA,NA,40.35,40.40,36.30,864000
1780031197,35.2,43.00,46.10,44.90,43.80,44.90,44.90,43.80,43.80,43.80,48.10,48.50,48.50,46.50,43.80,43.80,42.60,42.60,48.10,43.80,43.00,42.60,41.80,43.00,45.30,43.40,43.40,44.20,44.20,44.20,43.80,43.40,44.60,44.60,43.80,44.60,44.20,16.75,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.60,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,44.90,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.10,-273.00,38.31,0.00,0.00,0.00,NA,NA,NA,NA,NA,46.50,NA,NA,0.01,34.80,40.22,39.61,38.68,39.45,37.00,NA,47.30,NA,NA,40.37,40.40,36.30,864000
1780031211,36.4,45.30,50.10,47.70,45.70,47.30,47.30,46.50,46.90,45.00,52.50,52.90,53.70,51.30,45.30,45.70,44.20,44.20,51.30,45.70,44.20,44.20,43.40,43.80,48.50,45.00,45.30,46.10,45.70,44.90,45.30,44.60,46.50,46.50,45.70,48.10,46.10,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,46.50,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.50,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,49.30,-273.00,38.98,0.00,0.00,0.00,NA,NA,NA,NA,NA,48.50,NA,NA,0.01,35.56,40.79,40.25,39.81,40.35,37.00,NA,48.50,NA,NA,40.45,40.70,36.40,864000
1780031225,36.4,43.80,47.70,46.10,44.60,45.70,46.50,44.90,45.30,43.80,50.10,53.30,51.70,48.90,43.80,44.20,43.00,43.00,49.70,44.20,43.00,43.00,42.20,43.80,46.90,43.80,44.20,44.90,44.90,44.20,44.20,43.80,44.90,44.90,43.80,46.10,44.90,16.76,27.00,-273.00,0.00,0.00,0.00,0.00,-273.00,-273.00,44.90,-273.00,-273.00,-40.00,27.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,46.10,-273.00,-273.00,-273.00,-273.00,27.00,-273.00,-273.00,-273.00,-273.00,-273.00,48.90,-273.00,38.41,0.00,0.00,0.00,NA,NA,NA,NA,NA,47.30,NA,NA,0.01,34.73,40.01,39.75,38.71,39.55,37.00,NA,47.30,NA,NA,40.46,40.70,36.40,864000
